"","x"
"just",22161
"will",20414
"can",20383
"like",20040
"one",19398
"get",17747
"time",14967
"now",14551
"day",13799
"love",13730
"new",13224
"know",13017
"good",12249
"today",10954
"great",10045
"back",9722
"see",9535
"thanks",9385
"people",9153
"going",8942
"think",8903
"well",8857
"make",8824
"don",8668
"much",8443
"way",8213
"really",7991
"got",7957
"first",7892
"two",7427
"life",7332
"want",7262
"last",7226
"work",7175
"even",7070
"right",6946
"say",6815
"little",6814
"said",6789
"also",6713
"night",6613
"year",6573
"best",6483
"still",6431
"come",6424
"things",6315
"lol",6250
"need",6195
"week",6101
"take",5993
"next",5522
"follow",5409
"world",5225
"happy",5195
"many",5185
"dont",5100
"may",5088
"something",5066
"let",5064
"made",5034
"sure",5016
"big",4951
"always",4703
"use",4683
"never",4654
"ever",4620
"tonight",4619
"around",4606
"years",4595
"another",4369
"show",4364
"find",4351
"feel",4329
"look",4300
"better",4276
"long",4182
"thing",4108
"lot",4094
"man",4073
"home",4049
"every",4047
"please",4033
"yes",4033
"school",3903
"looking",3878
"game",3862
"wait",3860
"since",3836
"old",3729
"thank",3709
"put",3690
"friends",3683
"give",3652
"house",3605
"bad",3601
"free",3539
"working",3530
"keep",3491
"hope",3477
"nice",3466
"yet",3451
"help",3427
"morning",3403
"book",3402
"everyone",3401
"team",3376
"getting",3351
"pretty",3350
"try",3272
"someone",3263
"used",3242
"watch",3228
"fun",3212
"haha",3154
"though",3116
"twitter",3106
"place",3056
"post",3051
"days",3040
"kids",2966
"must",2938
"thought",2934
"makes",2932
"away",2927
"blog",2922
"story",2884
"girl",2864
"enough",2846
"nothing",2827
"amazing",2818
"done",2800
"tell",2768
"already",2751
"full",2692
"point",2690
"part",2651
"hard",2643
"might",2642
"told",2636
"friend",2625
"yeah",2615
"music",2574
"tomorrow",2552
"live",2541
"stop",2539
"awesome",2533
"making",2508
"trying",2508
"end",2505
"call",2489
"family",2477
"without",2461
"soon",2460
"food",2458
"top",2453
"far",2449
"check",2431
"coming",2425
"found",2423
"city",2422
"mean",2416
"god",2415
"weekend",2415
"read",2414
"least",2403
"watching",2398
"almost",2392
"start",2392
"sometimes",2375
"believe",2360
"head",2346
"mind",2346
"boy",2336
"times",2334
"ready",2319
"tweet",2313
"fact",2309
"ass",2302
"bit",2274
"buy",2267
"excited",2267
"person",2264
"together",2261
"anything",2255
"course",2250
"birthday",2233
"three",2230
"maybe",2229
"set",2225
"guys",2220
"needs",2214
"win",2204
"heart",2169
"talk",2169
"season",2167
"wanted",2167
"change",2166
"stuff",2158
"real",2153
"gonna",2152
"job",2152
"sleep",2142
"finally",2141
"cool",2138
"name",2123
"miss",2120
"came",2118
"play",2113
"using",2107
"left",2101
"business",2099
"film",2091
"minutes",2080
"cant",2071
"thats",2069
"gets",2049
"didn",2044
"following",2036
"forward",2035
"welcome",2020
"run",2016
"wish",2015
"true",2008
"hit",2007
"looks",1981
"hear",1980
"black",1959
"money",1946
"white",1946
"feeling",1942
"class",1936
"add",1932
"month",1928
"started",1924
"actually",1923
"party",1915
"says",1911
"ive",1903
"funny",1899
"saw",1892
"kind",1870
"question",1870
"half",1869
"friday",1868
"small",1866
"everything",1862
"hours",1862
"beer",1856
"sweet",1836
"movie",1835
"went",1834
"line",1830
"side",1830
"light",1829
"whole",1826
"second",1809
"beautiful",1805
"face",1805
"called",1803
"won",1801
"ago",1789
"else",1789
"guy",1771
"talking",1767
"took",1767
"able",1766
"crazy",1764
"children",1761
"stay",1761
"past",1759
"support",1759
"early",1758
"hands",1747
"ask",1745
"asked",1742
"problem",1711
"hey",1704
"room",1704
"important",1701
"yesterday",1699
"hand",1694
"seen",1692
"news",1688
"remember",1683
"paper",1682
"sorry",1679
"number",1671
"young",1670
"however",1666
"favorite",1661
"women",1656
"south",1654
"lost",1647
"bring",1640
"project",1638
"idea",1637
"different",1636
"knew",1636
"health",1629
"anyone",1627
"baby",1626
"others",1616
"list",1611
"living",1609
"pick",1607
"seems",1607
"state",1606
"water",1592
"often",1588
"high",1574
"body",1569
"move",1564
"felt",1558
"playing",1558
"definitely",1553
"air",1539
"later",1539
"probably",1538
"eyes",1535
"didnt",1534
"break",1524
"child",1522
"order",1518
"write",1513
"leave",1495
"mom",1490
"rather",1488
"phone",1487
"care",1486
"men",1486
"picture",1486
"doesnt",1479
"red",1477
"heard",1473
"store",1473
"fans",1469
"hot",1461
"video",1461
"wrong",1457
"means",1454
"ill",1452
"goes",1451
"design",1445
"email",1444
"close",1442
"wants",1438
"visit",1436
"busy",1432
"either",1424
"glad",1423
"less",1412
"outside",1404
"reading",1396
"meet",1394
"especially",1387
"quite",1384
"short",1384
"late",1382
"success",1382
"girls",1381
"car",1380
"matter",1378
"saturday",1368
"hate",1366
"lovely",1365
"summer",1364
"loved",1363
"completely",1361
"song",1358
"five",1356
"wow",1350
"words",1345
"behind",1342
"system",1340
"books",1339
"sunday",1337
"hour",1335
"wonderful",1335
"hold",1334
"million",1332
"needed",1332
"omg",1332
"lets",1330
"open",1323
"including",1315
"art",1312
"fan",1311
"seeing",1311
"center",1309
"christmas",1306
"front",1304
"thinking",1302
"send",1301
"months",1299
"saying",1298
"waiting",1298
"dream",1287
"sense",1285
"word",1284
"sad",1281
"cause",1278
"page",1278
"green",1276
"given",1272
"strong",1263
"weeks",1258
"jesus",1252
"rock",1251
"country",1248
"luck",1244
"large",1243
"writing",1242
"spent",1240
"several",1238
"taking",1236
"special",1230
"starting",1223
"control",1222
"okay",1222
"share",1217
"woman",1217
"brown",1216
"experience",1213
"learn",1212
"site",1207
"perhaps",1205
"event",1202
"quick",1201
"turn",1200
"perfect",1199
"coffee",1197
"public",1194
"account",1193
"damn",1192
"wasn",1175
"shows",1174
"alone",1173
"become",1173
"social",1173
"march",1172
"national",1172
"rogers",1171
"known",1168
"rest",1168
"practice",1167
"comes",1163
"group",1157
"hes",1156
"meeting",1155
"reason",1155
"pay",1154
"games",1151
"doesn",1148
"fine",1147
"sounds",1146
"power",1145
"congrats",1144
"gave",1144
"couple",1139
"market",1135
"possible",1135
"gives",1133
"self",1130
"card",1129
"longer",1125
"running",1125
"board",1124
"club",1123
"taken",1123
"guess",1118
"enjoy",1108
"isn",1103
"among",1099
"town",1096
"mister",1095
"age",1093
"forget",1093
"turned",1092
"law",1090
"etc",1084
"learned",1083
"youre",1080
"looked",1077
"members",1077
"april",1076
"sitting",1075
"speak",1075
"boys",1073
"difference",1072
"final",1069
"eat",1067
"lives",1067
"questions",1067
"death",1065
"plan",1065
"moment",1064
"stories",1064
"text",1064
"human",1062
"missed",1062
"tried",1059
"brain",1058
"followers",1055
"seriously",1055
"available",1044
"hair",1044
"community",1043
"deal",1043
"government",1042
"series",1042
"across",1040
"non",1038
"case",1037
"within",1037
"online",1036
"based",1035
"along",1033
"information",1033
"area",1030
"action",1029
"office",1029
"works",1028
"finished",1027
"till",1023
"program",1019
"star",1019
"answer",1016
"whether",1012
"amount",1011
"hello",1010
"university",1009
"energy",1005
"history",1004
"future",1003
"lots",1003
"term",1003
"website",1001
"company",1000
"learning",1000
"wasnt",1000
"band",999
"wear",999
"wine",997
"starts",996
"wild",996
"students",994
"middle",992
"session",989
"local",987
"details",986
"certainly",985
"isnt",984
"born",983
"due",983
